epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,87875.5,0.44446,0.25305,1.07459,0.9737,0.97899,0.98509,0.92991,0.36541,0.21644,0.91521,4.4304e-05,4.4304e-05,4.4304e-05
42,90695.7,0.43493,0.23971,1.06845,0.97096,0.96811,0.98218,0.92919,0.36571,0.21548,0.91446,4.00866e-05,4.00866e-05,4.00866e-05
43,92609.8,0.42829,0.2282,1.06052,0.97428,0.9762,0.98491,0.93268,0.36028,0.21056,0.91061,3.58692e-05,3.58692e-05,3.58692e-05
44,95362.1,0.41898,0.22142,1.05467,0.97779,0.97754,0.98688,0.93536,0.36164,0.20667,0.91214,3.16518e-05,3.16518e-05,3.16518e-05
45,98363.7,0.41334,0.21599,1.04654,0.97681,0.97423,0.98791,0.93767,0.35575,0.20402,0.90833,2.74344e-05,2.74344e-05,2.74344e-05
46,101365,0.41488,0.21113,1.05212,0.97214,0.9729,0.98707,0.93683,0.3583,0.20473,0.91088,2.3217e-05,2.3217e-05,2.3217e-05
47,104364,0.41112,0.21108,1.04787,0.96367,0.97926,0.98577,0.93696,0.35693,0.20372,0.9085,1.89996e-05,1.89996e-05,1.89996e-05
48,112496,0.40645,0.20603,1.04299,0.96699,0.97793,0.98602,0.93806,0.34955,0.19901,0.90332,1.47822e-05,1.47822e-05,1.47822e-05
49,114467,0.4029,0.20306,1.04001,0.97015,0.97923,0.98572,0.93796,0.34888,0.19789,0.90295,1.05648e-05,1.05648e-05,1.05648e-05
50,116416,0.39768,0.20084,1.03586,0.97125,0.9763,0.98564,0.9387,0.34828,0.19608,0.90344,6.3474e-06,6.3474e-06,6.3474e-06
